Chronologic VCS simulator copyright 1991-2011
Contains Synopsys proprietary information.
Compiler version E-2011.03_Full64; Runtime version E-2011.03_Full64;  Jan 25 15:04 2013
STARTING TESTBENCH!

  i=        158  reset=0  state=00  in=1  out=0  correct=1
  i=        159  reset=0  state=01  in=1  out=0  correct=1
  i=        160  reset=1  state=01  in=0  out=0  correct=1
  i=        161  reset=0  state=00  in=0  out=0  correct=1
  i=        162  reset=0  state=00  in=0  out=0  correct=1
  i=        163  reset=0  state=00  in=1  out=0  correct=1
  i=        164  reset=0  state=01  in=1  out=0  correct=1
  i=        165  reset=0  state=01  in=0  out=0  correct=1
  i=        166  reset=0  state=10  in=0  out=0  correct=1
  i=        167  reset=0  state=00  in=0  out=0  correct=1
  i=        168  reset=0  state=00  in=1  out=0  correct=1
  i=        169  reset=0  state=01  in=1  out=0  correct=1
  i=        170  reset=1  state=01  in=0  out=0  correct=1
  i=        171  reset=0  state=00  in=0  out=0  correct=1
  i=        172  reset=0  state=00  in=0  out=0  correct=1
  i=        173  reset=0  state=00  in=1  out=0  correct=1
  i=        174  reset=0  state=01  in=0  out=0  correct=1
  i=        175  reset=0  state=10  in=0  out=0  correct=1
  i=        176  reset=0  state=00  in=1  out=0  correct=1
  i=        177  reset=0  state=01  in=0  out=0  correct=1
  i=        178  reset=0  state=10  in=0  out=0  correct=1
  i=        179  reset=0  state=00  in=0  out=0  correct=1
  i=        180  reset=1  state=00  in=1  out=0  correct=1
  i=        181  reset=0  state=00  in=0  out=0  correct=1
  i=        182  reset=0  state=00  in=1  out=0  correct=1
  i=        183  reset=0  state=01  in=1  out=0  correct=1
  i=        184  reset=0  state=01  in=0  out=0  correct=1
  i=        185  reset=0  state=10  in=0  out=0  correct=1
  i=        186  reset=0  state=00  in=0  out=0  correct=1
  i=        187  reset=0  state=00  in=0  out=0  correct=1
  i=        188  reset=0  state=00  in=1  out=0  correct=1
  i=        189  reset=0  state=01  in=0  out=0  correct=1
  i=        190  reset=1  state=10  in=0  out=0  correct=1
  i=        191  reset=0  state=00  in=0  out=0  correct=1
  i=        192  reset=0  state=00  in=0  out=0  correct=1
  i=        193  reset=0  state=00  in=1  out=0  correct=1
  i=        194  reset=0  state=01  in=1  out=0  correct=1
  i=        195  reset=0  state=01  in=1  out=0  correct=1
  i=        196  reset=0  state=01  in=0  out=0  correct=1
  i=        197  reset=0  state=10  in=1  out=0  correct=1
  i=        198  reset=0  state=11  in=1  out=1  correct=1
  i=        199  reset=0  state=01  in=1  out=0  correct=1
  i=        200  reset=1  state=01  in=0  out=0  correct=1
  i=        201  reset=0  state=00  in=0  out=0  correct=1
  i=        202  reset=0  state=00  in=1  out=0  correct=1
  i=        203  reset=0  state=01  in=1  out=0  correct=1
  i=        204  reset=0  state=01  in=1  out=0  correct=1
  i=        205  reset=0  state=01  in=1  out=0  correct=1
  i=        206  reset=0  state=01  in=1  out=0  correct=1
  i=        207  reset=0  state=01  in=0  out=0  correct=1
  i=        208  reset=0  state=10  in=1  out=0  correct=1
  i=        209  reset=0  state=11  in=1  out=1  correct=1
  i=        210  reset=1  state=01  in=0  out=0  correct=1
  i=        211  reset=0  state=00  in=0  out=0  correct=1
  i=        212  reset=0  state=00  in=0  out=0  correct=1
  i=        213  reset=0  state=00  in=0  out=0  correct=1
  i=        214  reset=0  state=00  in=1  out=0  correct=1
  i=        215  reset=0  state=01  in=1  out=0  correct=1
  i=        216  reset=0  state=01  in=0  out=0  correct=1
  i=        217  reset=0  state=10  in=0  out=0  correct=1
  i=        218  reset=0  state=00  in=1  out=0  correct=1
  i=        219  reset=0  state=01  in=0  out=0  correct=1
